customer_id,customer_name,customer_type,channel,province,region,address,phone,tax_code,join_date,credit_limit,status
CUS00015,Online Seller Vũ Quốc Tâm,Online Seller,E-commerce,Đà Nẵng,Miền Trung,"Số 383 đường Lê Lợi, Đà Nẵng",02619067690,,2021-11-13,100000000,Active
CUS00016,Cửa hàng tiện lợi Ngô Quốc Lan,Cửa hàng tiện lợi,Modern Trade,Bình Dương,Miền Nam,"Số 23 đường Trần Phú, Bình Dương",02955439043,,2019-12-19,500000000,Active
CUS00017,Tạp hóa Dương Đức Giang,Tạp hóa,Traditional Trade,Khánh Hòa,Miền Trung,"Số 367 đường Lý Thường Kiệt, Khánh Hòa",02814963880,,2021-04-16,100000000,Inactive
CUS00018,Nhà hàng Hoàng Bá Lộc,Nhà hàng,Traditional Trade,Hà Nội,Miền Bắc,"Số 418 đường Nguyễn Trãi, Hà Nội",02843999198,3778416511,2021-03-17,200000000,Active
CUS00019,Nhà hàng Trần Quốc Phương,Nhà hàng,Traditional Trade,Hải Dương,Miền Bắc,"Số 456 đường Hai Bà Trưng, Hải Dương",02861894582,6097341120,2023-07-31,200000000,Active
CUS00020,Siêu thị Ngô Xuân Hà,Siêu thị,Modern Trade,Cần Thơ,Miền Nam,"Số 221 đường Nguyễn Trãi, Cần Thơ",02383212334,6556684476,2019-02-25,50000000,Active
CUS00021,Canteen Đỗ Hồng Phương,Canteen,Traditional Trade,Quảng Nam,Miền Trung,"Số 86 đường Điện Biên Phủ, Quảng Nam",02857183837,2920407276,2021-12-15,500000000,Active
CUS00022,Online Seller Hồ Xuân Hải,Online Seller,E-commerce,Hải Phòng,Miền Bắc,"Số 263 đường Lý Thường Kiệt, Hải Phòng",02314179623,,2019-08-08,500000000,Inactive
CUS00023,Online Seller Huỳnh Quốc Kiên,Online Seller,E-commerce,Bắc Ninh,Miền Bắc,"Số 487 đường Nguyễn Trãi, Bắc Ninh",02191214453,,2019-09-21,500000000,Active
CUS00024,Siêu thị Đỗ Đức Hải,Siêu thị,Modern Trade,Quảng Ngãi,Miền Trung,"Số 204 đường Trần Phú, Quảng Ngãi",02543502308,5125402225,2018-04-17,100000000,Active
CUS00025,Siêu thị Hoàng Minh Sơn,Siêu thị,Modern Trade,Bình Định,Miền Trung,"Số 110 đường Nguyễn Trãi, Bình Định",02575927774,1859759428,2019-07-10,50000000,Active
CUS00026,Siêu thị Dương Thành Uyên,Siêu thị,Modern Trade,Bình Phước,Miền Nam,"Số 342 đường Trần Phú, Bình Phước",02283819367,7623575561,2021-05-13,100000000,Active
CUS00027,Nhà hàng Bùi Thanh Khoa,Nhà hàng,Traditional Trade,Đồng Nai,Miền Nam,"Số 103 đường Lý Thường Kiệt, Đồng Nai",02341774192,8689593739,2018-04-18,200000000,Active
CUS00028,Cửa hàng tiện lợi Lê Công Hà,Cửa hàng tiện lợi,Modern Trade,Quảng Ngãi,Miền Trung,"Số 34 đường Trần Phú, Quảng Ngãi",02774245343,,2023-11-24,500000000,Active
CUS00029,Tạp hóa Huỳnh Thành Giang,Tạp hóa,Traditional Trade,Bình Dương,Miền Nam,"Số 231 đường Hai Bà Trưng, Bình Dương",02956239991,,2019-06-10,100000000,Active
CUS00030,Cửa hàng tiện lợi Lý Văn Khoa,Cửa hàng tiện lợi,Modern Trade,Nam Định,Miền Bắc,"Số 266 đường Nguyễn Huệ, Nam Định",02532099899,,2019-10-26,200000000,Active
CUS00031,Cửa hàng tiện lợi Hoàng Thị Tâm,Cửa hàng tiện lợi,Modern Trade,Hải Dương,Miền Bắc,"Số 101 đường Điện Biên Phủ, Hải Dương",02946836194,,2019-05-28,200000000,Active
CUS00032,Cửa hàng tiện lợi Đỗ Đức Long,Cửa hàng tiện lợi,Modern Trade,Quảng Ninh,Miền Bắc,"Số 338 đường Nguyễn Trãi, Quảng Ninh",02685647532,,2018-06-18,50000000,Active
CUS00033,Online Seller Phạm Công Nhân,Online Seller,E-commerce,Cần Thơ,Miền Nam,"Số 317 đường Điện Biên Phủ, Cần Thơ",02176845536,,2024-02-13,200000000,Active
CUS00034,Tạp hóa Dương Thành Lộc,Tạp hóa,Traditional Trade,Quảng Ngãi,Miền Trung,"Số 153 đường Hai Bà Trưng, Quảng Ngãi",02218041391,,2019-10-10,500000000,Active
CUS00035,Nhà hàng Đỗ Đức Uyên,Nhà hàng,Traditional Trade,Huế,Miền Trung,"Số 442 đường Điện Biên Phủ, Huế",02656354851,9484167278,2019-06-20,200000000,Active
CUS00036,Tạp hóa Đặng Thị Thắng,Tạp hóa,Traditional Trade,Hải Dương,Miền Bắc,"Số 231 đường Nguyễn Huệ, Hải Dương",02322993840,,2018-07-27,200000000,Active
CUS00037,Tạp hóa Lý Đức Uyên,Tạp hóa,Traditional Trade,Vũng Tàu,Miền Nam,"Số 479 đường Nguyễn Trãi, Vũng Tàu",02635479101,,2019-10-15,500000000,Active
CUS00038,Nhà hàng Đặng Văn Hà,Nhà hàng,Traditional Trade,Quảng Ngãi,Miền Trung,"Số 484 đường Hai Bà Trưng, Quảng Ngãi",02971368457,5151887478,2020-05-31,200000000,Inactive
CUS00039,Cửa hàng tiện lợi Lý Thành Trung,Cửa hàng tiện lợi,Modern Trade,Quảng Ngãi,Miền Trung,"Số 147 đường Nguyễn Trãi, Quảng Ngãi",02124428014,,2022-11-01,100000000,Active
CUS00040,Canteen Huỳnh Văn Lộc,Canteen,Traditional Trade,Tiền Giang,Miền Nam,"Số 27 đường Nguyễn Trãi, Tiền Giang",02936126192,2239534867,2022-05-02,500000000,Active
CUS00041,Cửa hàng tiện lợi Hồ Công Khoa,Cửa hàng tiện lợi,Modern Trade,Nghệ An,Miền Trung,"Số 66 đường Lê Lợi, Nghệ An",02760089832,,2021-10-20,200000000,Active
CUS00042,Cửa hàng tiện lợi Nguyễn Văn Cường,Cửa hàng tiện lợi,Modern Trade,Nam Định,Miền Bắc,"Số 71 đường Điện Biên Phủ, Nam Định",02673584863,,2023-10-29,500000000,Active
CUS00043,Nhà hàng Đỗ Quốc Long,Nhà hàng,Traditional Trade,Đồng Nai,Miền Nam,"Số 202 đường Nguyễn Trãi, Đồng Nai",02589688374,7581349462,2021-05-12,500000000,Active
CUS00044,Online Seller Trần Xuân Tuấn,Online Seller,E-commerce,Quảng Nam,Miền Trung,"Số 408 đường Điện Biên Phủ, Quảng Nam",02190115852,,2023-04-28,200000000,Active
CUS00045,Online Seller Nguyễn Công Trung,Online Seller,E-commerce,Long An,Miền Nam,"Số 88 đường Nguyễn Trãi, Long An",02729834119,,2020-09-19,50000000,Active
CUS00046,Tạp hóa Nguyễn Hữu Uyên,Tạp hóa,Traditional Trade,Bình Dương,Miền Nam,"Số 215 đường Nguyễn Huệ, Bình Dương",02737365878,,2022-08-08,500000000,Active
CUS00047,Online Seller Lê Bá Ngân,Online Seller,E-commerce,TP.HCM,Miền Nam,"Số 288 đường Trần Phú, TP.HCM",02880528349,,2022-03-24,200000000,Active
CUS00048,Nhà hàng Bùi Quốc Tâm,Nhà hàng,Traditional Trade,Bình Định,Miền Trung,"Số 313 đường Hai Bà Trưng, Bình Định",02443087238,2282044148,2021-05-04,200000000,Active
CUS00049,Nhà hàng Đặng Quốc Thắng,Nhà hàng,Traditional Trade,Bình Phước,Miền Nam,"Số 148 đường Lê Lợi, Bình Phước",02960961690,5924077461,2018-06-22,200000000,Active
CUS00050,Canteen Hồ Minh Trung,Canteen,Traditional Trade,Hải Dương,Miền Bắc,"Số 110 đường Nguyễn Huệ, Hải Dương",02946390817,8285000265,2019-07-17,50000000,Active
CUS00051,Tạp hóa Nguyễn Thành Phúc,Tạp hóa,Traditional Trade,Long An,Miền Nam,"Số 327 đường Nguyễn Huệ, Long An",02123448342,,2022-08-20,200000000,Active
CUS00052,Siêu thị Bùi Đức Nhân,Siêu thị,Modern Trade,Quảng Ninh,Miền Bắc,"Số 335 đường Hai Bà Trưng, Quảng Ninh",02897313825,9434946584,2021-08-08,200000000,Active
CUS00053,Cửa hàng tiện lợi Ngô Hồng Cường,Cửa hàng tiện lợi,Modern Trade,Bắc Ninh,Miền Bắc,"Số 468 đường Nguyễn Huệ, Bắc Ninh",02733593960,,2018-05-29,500000000,Active
CUS00054,Siêu thị Nguyễn Minh Hùng,Siêu thị,Modern Trade,Hưng Yên,Miền Bắc,"Số 476 đường Trần Phú, Hưng Yên",02570981700,5031086659,2023-08-28,500000000,Active
CUS00055,Tạp hóa Ngô Hữu Tâm,Tạp hóa,Traditional Trade,Hải Dương,Miền Bắc,"Số 368 đường Nguyễn Huệ, Hải Dương",02155246430,,2021-04-23,100000000,Active
CUS00056,Canteen Bùi Quốc Hà,Canteen,Traditional Trade,Vũng Tàu,Miền Nam,"Số 206 đường Điện Biên Phủ, Vũng Tàu",02234800912,5216305802,2023-05-10,200000000,Active
CUS00057,Canteen Phạm Hữu Thắng,Canteen,Traditional Trade,Hưng Yên,Miền Bắc,"Số 489 đường Trần Phú, Hưng Yên",02588176558,5344083406,2022-01-12,100000000,Inactive
CUS00058,Nhà hàng Lê Xuân Tuấn,Nhà hàng,Traditional Trade,Thái Bình,Miền Bắc,"Số 354 đường Lê Lợi, Thái Bình",02559330907,3639796200,2020-06-16,100000000,Active
CUS00059,Cửa hàng tiện lợi Huỳnh Xuân Trung,Cửa hàng tiện lợi,Modern Trade,Khánh Hòa,Miền Trung,"Số 388 đường Nguyễn Trãi, Khánh Hòa",02443214247,,2018-12-02,500000000,Active
CUS00060,Cửa hàng tiện lợi Trần Văn Nam,Cửa hàng tiện lợi,Modern Trade,Đà Nẵng,Miền Trung,"Số 294 đường Nguyễn Trãi, Đà Nẵng",02332083803,,2021-09-05,500000000,Active
CUS00061,Siêu thị Bùi Hữu Dũng,Siêu thị,Modern Trade,Thái Bình,Miền Bắc,"Số 233 đường Nguyễn Huệ, Thái Bình",02965757342,9837912162,2023-03-09,200000000,Active
CUS00062,Siêu thị Ngô Thanh Giang,Siêu thị,Modern Trade,Quảng Nam,Miền Trung,"Số 24 đường Hai Bà Trưng, Quảng Nam",02618557710,4840638976,2023-04-18,50000000,Active
CUS00063,Online Seller Ngô Thành Nhân,Online Seller,E-commerce,Quảng Ninh,Miền Bắc,"Số 192 đường Hai Bà Trưng, Quảng Ninh",02860666702,,2022-03-19,50000000,Active
CUS00064,Online Seller Lý Quốc Khoa,Online Seller,E-commerce,Đồng Nai,Miền Nam,"Số 92 đường Nguyễn Trãi, Đồng Nai",02780980044,,2019-06-06,100000000,Active
CUS00065,Canteen Hồ Hồng Phương,Canteen,Traditional Trade,Hưng Yên,Miền Bắc,"Số 273 đường Hai Bà Trưng, Hưng Yên",02443220503,7273337794,2019-09-28,200000000,Active
CUS00066,Siêu thị Dương Thành Nhân,Siêu thị,Modern Trade,Bình Dương,Miền Nam,"Số 315 đường Lý Thường Kiệt, Bình Dương",02142301683,1885113834,2019-02-18,50000000,Active
CUS00067,Tạp hóa Ngô Văn Lộc,Tạp hóa,Traditional Trade,TP.HCM,Miền Nam,"Số 225 đường Nguyễn Huệ, TP.HCM",02939161379,,2018-08-20,100000000,Active
CUS00068,Online Seller Đỗ Quốc Uyên,Online Seller,E-commerce,Huế,Miền Trung,"Số 122 đường Trần Phú, Huế",02398612211,,2023-11-06,100000000,Active
CUS00069,Cửa hàng tiện lợi Đỗ Hồng Mai,Cửa hàng tiện lợi,Modern Trade,Đà Nẵng,Miền Trung,"Số 321 đường Điện Biên Phủ, Đà Nẵng",02784605013,,2023-07-24,50000000,Active
CUS00070,Cửa hàng tiện lợi Huỳnh Hồng Nhân,Cửa hàng tiện lợi,Modern Trade,Vũng Tàu,Miền Nam,"Số 210 đường Nguyễn Huệ, Vũng Tàu",02560527631,,2020-01-24,500000000,Active
CUS00071,Online Seller Lê Hữu Dũng,Online Seller,E-commerce,Hưng Yên,Miền Bắc,"Số 288 đường Hai Bà Trưng, Hưng Yên",02784797762,,2023-12-11,100000000,Active
CUS00072,Nhà hàng Hồ Thị Sơn,Nhà hàng,Traditional Trade,Huế,Miền Trung,"Số 434 đường Trần Phú, Huế",02281891784,1818112342,2021-01-04,500000000,Active
CUS00073,Siêu thị Phạm Công Ngân,Siêu thị,Modern Trade,TP.HCM,Miền Nam,"Số 246 đường Nguyễn Huệ, TP.HCM",02650693207,1065857791,2020-02-18,50000000,Active
CUS00074,Online Seller Đỗ Hồng Ngân,Online Seller,E-commerce,Huế,Miền Trung,"Số 204 đường Nguyễn Huệ, Huế",02953166435,,2021-03-05,500000000,Active
CUS00075,Nhà hàng Hoàng Quốc Vân,Nhà hàng,Traditional Trade,Tiền Giang,Miền Nam,"Số 239 đường Lê Lợi, Tiền Giang",02852980983,4927019611,2022-02-27,200000000,Active
CUS00076,Online Seller Lê Văn Tâm,Online Seller,E-commerce,Long An,Miền Nam,"Số 284 đường Nguyễn Trãi, Long An",02749620038,,2019-09-17,100000000,Active
CUS00077,Tạp hóa Đặng Bá Việt,Tạp hóa,Traditional Trade,Bình Định,Miền Trung,"Số 132 đường Lý Thường Kiệt, Bình Định",02896126771,,2023-07-03,500000000,Active
CUS00078,Tạp hóa Ngô Bá Vân,Tạp hóa,Traditional Trade,Huế,Miền Trung,"Số 95 đường Nguyễn Trãi, Huế",02180322629,,2018-05-19,50000000,Active
CUS00079,Siêu thị Vũ Đức Phúc,Siêu thị,Modern Trade,TP.HCM,Miền Nam,"Số 35 đường Điện Biên Phủ, TP.HCM",02311226946,7253513875,2018-09-05,500000000,Active
CUS00080,Cửa hàng tiện lợi Bùi Xuân An,Cửa hàng tiện lợi,Modern Trade,Hà Nội,Miền Bắc,"Số 9 đường Nguyễn Trãi, Hà Nội",02581905550,,2021-03-20,50000000,Active
CUS00081,Tạp hóa Trần Thị Linh,Tạp hóa,Traditional Trade,Vũng Tàu,Miền Nam,"Số 124 đường Nguyễn Huệ, Vũng Tàu",02943878996,,2021-12-22,200000000,Active
CUS00082,Canteen Đặng Công Quân,Canteen,Traditional Trade,Hải Dương,Miền Bắc,"Số 357 đường Nguyễn Huệ, Hải Dương",02520820219,4262396395,2019-01-18,500000000,Active
CUS00083,Siêu thị Hồ Văn Long,Siêu thị,Modern Trade,Bình Phước,Miền Nam,"Số 43 đường Hai Bà Trưng, Bình Phước",02796557984,8663837890,2019-01-26,50000000,Active
CUS00084,Nhà hàng Nguyễn Thị Thắng,Nhà hàng,Traditional Trade,Bình Phước,Miền Nam,"Số 461 đường Nguyễn Trãi, Bình Phước",02134072553,2350701477,2020-04-28,100000000,Active
CUS00085,Siêu thị Hoàng Đức Quân,Siêu thị,Modern Trade,Vũng Tàu,Miền Nam,"Số 291 đường Lý Thường Kiệt, Vũng Tàu",02782553061,6719736115,2019-07-28,50000000,Active
CUS00086,Siêu thị Vũ Thanh Giang,Siêu thị,Modern Trade,Đà Nẵng,Miền Trung,"Số 175 đường Nguyễn Trãi, Đà Nẵng",02753805532,9717175839,2021-01-24,500000000,Active
CUS00087,Canteen Vũ Đức Kiên,Canteen,Traditional Trade,Bình Định,Miền Trung,"Số 44 đường Lý Thường Kiệt, Bình Định",02543077929,4062777850,2018-12-03,200000000,Active
CUS00088,Online Seller Vũ Quốc Hải,Online Seller,E-commerce,Đồng Nai,Miền Nam,"Số 55 đường Lê Lợi, Đồng Nai",02151374957,,2022-12-27,200000000,Active
CUS00089,Siêu thị Lê Xuân Sơn,Siêu thị,Modern Trade,Quảng Ninh,Miền Bắc,"Số 286 đường Nguyễn Trãi, Quảng Ninh",02964766762,1443639751,2019-01-03,200000000,Active
CUS00090,Canteen Nguyễn Minh Nhân,Canteen,Traditional Trade,Tiền Giang,Miền Nam,"Số 199 đường Lý Thường Kiệt, Tiền Giang",02285099723,5201221330,2023-11-05,100000000,Active
CUS00091,Nhà hàng Hoàng Minh Vân,Nhà hàng,Traditional Trade,Quảng Ninh,Miền Bắc,"Số 75 đường Lê Lợi, Quảng Ninh",02368341261,6480214504,2021-05-12,500000000,Active
CUS00092,Tạp hóa Ngô Thành Vân,Tạp hóa,Traditional Trade,Quảng Nam,Miền Trung,"Số 305 đường Nguyễn Trãi, Quảng Nam",02471453148,,2019-03-15,100000000,Active
CUS00093,Cửa hàng tiện lợi Vũ Quốc Sơn,Cửa hàng tiện lợi,Modern Trade,Quảng Nam,Miền Trung,"Số 172 đường Hai Bà Trưng, Quảng Nam",02350323741,,2021-08-06,100000000,Active
CUS00094,Nhà hàng Hoàng Hồng Vân,Nhà hàng,Traditional Trade,Nam Định,Miền Bắc,"Số 496 đường Nguyễn Trãi, Nam Định",02453739710,6910112521,2022-05-29,200000000,Active
CUS00095,Cửa hàng tiện lợi Bùi Đức Bình,Cửa hàng tiện lợi,Modern Trade,Long An,Miền Nam,"Số 488 đường Điện Biên Phủ, Long An",02838138531,,2022-12-01,200000000,Active
CUS00096,Online Seller Đặng Đức Tuấn,Online Seller,E-commerce,Nam Định,Miền Bắc,"Số 124 đường Trần Phú, Nam Định",02366791272,,2022-03-25,50000000,Active
CUS00097,Cửa hàng tiện lợi Vũ Bá Nhân,Cửa hàng tiện lợi,Modern Trade,Bình Phước,Miền Nam,"Số 279 đường Lê Lợi, Bình Phước",02682062301,,2018-12-15,50000000,Active
CUS00098,Tạp hóa Hồ Công Cường,Tạp hóa,Traditional Trade,Tiền Giang,Miền Nam,"Số 289 đường Điện Biên Phủ, Tiền Giang",02754506155,,2022-10-30,50000000,Inactive
CUS00099,Cửa hàng tiện lợi Ngô Bá Phúc,Cửa hàng tiện lợi,Modern Trade,Huế,Miền Trung,"Số 229 đường Trần Phú, Huế",02772151291,,2023-08-12,100000000,Active
CUS00100,Siêu thị Hoàng Xuân Hà,Siêu thị,Modern Trade,Thái Bình,Miền Bắc,"Số 60 đường Lý Thường Kiệt, Thái Bình",02356751880,6634526139,2023-02-09,100000000,Active
CUS00101,Siêu thị Đặng Hồng Sơn,Siêu thị,Modern Trade,Quảng Ngãi,Miền Trung,"Số 164 đường Lê Lợi, Quảng Ngãi",02515997257,1494287462,2021-11-06,50000000,Active
CUS00102,Cửa hàng tiện lợi Lê Bá Long,Cửa hàng tiện lợi,Modern Trade,Bắc Ninh,Miền Bắc,"Số 170 đường Nguyễn Trãi, Bắc Ninh",02772015859,,2020-08-07,500000000,Active
CUS00103,Canteen Nguyễn Hồng Nam,Canteen,Traditional Trade,Nam Định,Miền Bắc,"Số 231 đường Nguyễn Trãi, Nam Định",02762188655,9609047368,2020-05-29,100000000,Active
CUS00104,Cửa hàng tiện lợi Trần Bá Mai,Cửa hàng tiện lợi,Modern Trade,Bình Dương,Miền Nam,"Số 188 đường Trần Phú, Bình Dương",02471411378,,2019-04-12,200000000,Active
CUS00105,Online Seller Huỳnh Công Kiên,Online Seller,E-commerce,Bình Định,Miền Trung,"Số 313 đường Hai Bà Trưng, Bình Định",02256697654,,2021-12-12,500000000,Active
CUS00106,Cửa hàng tiện lợi Đỗ Thị Lan,Cửa hàng tiện lợi,Modern Trade,Cần Thơ,Miền Nam,"Số 161 đường Lê Lợi, Cần Thơ",02450987410,,2019-04-25,100000000,Active
CUS00107,Canteen Đỗ Đức Kiên,Canteen,Traditional Trade,Nam Định,Miền Bắc,"Số 217 đường Nguyễn Huệ, Nam Định",02895295586,6011649263,2021-03-29,100000000,Active
CUS00108,Siêu thị Lý Quốc An,Siêu thị,Modern Trade,Bình Định,Miền Trung,"Số 249 đường Nguyễn Huệ, Bình Định",02461532114,7420846622,2023-07-08,500000000,Active
CUS00109,Tạp hóa Trần Công Bình,Tạp hóa,Traditional Trade,Quảng Ngãi,Miền Trung,"Số 408 đường Lý Thường Kiệt, Quảng Ngãi",02449203644,,2018-05-14,200000000,Active
CUS00110,Canteen Đỗ Hồng Vân,Canteen,Traditional Trade,Huế,Miền Trung,"Số 282 đường Nguyễn Trãi, Huế",02286868379,5785481124,2024-02-03,200000000,Active
CUS00111,Cửa hàng tiện lợi Phạm Xuân Hùng,Cửa hàng tiện lợi,Modern Trade,Thái Bình,Miền Bắc,"Số 377 đường Lý Thường Kiệt, Thái Bình",02449957816,,2018-05-13,500000000,Active
CUS00112,Siêu thị Dương Thanh Ngân,Siêu thị,Modern Trade,Thái Bình,Miền Bắc,"Số 416 đường Điện Biên Phủ, Thái Bình",02691907952,8012696455,2019-11-11,100000000,Active
CUS00113,Cửa hàng tiện lợi Huỳnh Bá Thắng,Cửa hàng tiện lợi,Modern Trade,Hà Nội,Miền Bắc,"Số 306 đường Nguyễn Trãi, Hà Nội",02353440052,,2021-04-13,200000000,Active
CUS00114,Tạp hóa Dương Xuân Dũng,Tạp hóa,Traditional Trade,Bình Dương,Miền Nam,"Số 142 đường Lý Thường Kiệt, Bình Dương",02327809465,,2020-10-19,100000000,Active
CUS00115,Canteen Lê Công Thắng,Canteen,Traditional Trade,Nam Định,Miền Bắc,"Số 322 đường Hai Bà Trưng, Nam Định",02770665302,9914274512,2019-01-17,500000000,Active
CUS00116,Nhà hàng Đặng Hữu Uyên,Nhà hàng,Traditional Trade,Khánh Hòa,Miền Trung,"Số 298 đường Lê Lợi, Khánh Hòa",02271532017,8289800644,2018-09-17,500000000,Active
CUS00117,Tạp hóa Đặng Minh Uyên,Tạp hóa,Traditional Trade,Nghệ An,Miền Trung,"Số 425 đường Trần Phú, Nghệ An",02683458776,,2019-06-19,500000000,Active
CUS00118,Siêu thị Trần Thành Thảo,Siêu thị,Modern Trade,TP.HCM,Miền Nam,"Số 9 đường Lê Lợi, TP.HCM",02369228397,2960730480,2022-10-19,100000000,Active
CUS00119,Tạp hóa Lý Minh Hà,Tạp hóa,Traditional Trade,Hưng Yên,Miền Bắc,"Số 336 đường Trần Phú, Hưng Yên",02521062296,,2022-03-04,100000000,Inactive
CUS00120,Online Seller Ngô Thanh Phương,Online Seller,E-commerce,Cần Thơ,Miền Nam,"Số 336 đường Lê Lợi, Cần Thơ",02210145801,,2020-05-24,500000000,Inactive
CUS00121,Cửa hàng tiện lợi Hồ Hữu An,Cửa hàng tiện lợi,Modern Trade,Long An,Miền Nam,"Số 5 đường Điện Biên Phủ, Long An",02626185823,,2022-09-26,100000000,Active
CUS00122,Siêu thị Ngô Thị Hùng,Siêu thị,Modern Trade,Nam Định,Miền Bắc,"Số 161 đường Trần Phú, Nam Định",02528405182,4755937285,2019-08-09,50000000,Active
CUS00123,Canteen Huỳnh Hồng Ngân,Canteen,Traditional Trade,Quảng Ninh,Miền Bắc,"Số 322 đường Điện Biên Phủ, Quảng Ninh",02365258766,1933058809,2019-02-16,100000000,Active
CUS00124,Nhà hàng Vũ Quốc Lan,Nhà hàng,Traditional Trade,Vũng Tàu,Miền Nam,"Số 127 đường Trần Phú, Vũng Tàu",02243308414,7904559790,2018-04-20,200000000,Active
CUS00125,Online Seller Vũ Minh Dũng,Online Seller,E-commerce,Long An,Miền Nam,"Số 402 đường Lý Thường Kiệt, Long An",02476422705,,2022-04-30,50000000,Active
CUS00126,Cửa hàng tiện lợi Nguyễn Quốc Uyên,Cửa hàng tiện lợi,Modern Trade,Bình Dương,Miền Nam,"Số 68 đường Hai Bà Trưng, Bình Dương",02759044830,,2024-02-16,100000000,Active
CUS00127,Cửa hàng tiện lợi Trần Văn Tâm,Cửa hàng tiện lợi,Modern Trade,Hà Nội,Miền Bắc,"Số 111 đường Lê Lợi, Hà Nội",02163415303,,2023-09-07,200000000,Active
CUS00128,Canteen Ngô Xuân Hà,Canteen,Traditional Trade,Vũng Tàu,Miền Nam,"Số 328 đường Nguyễn Trãi, Vũng Tàu",02992684436,5950724801,2018-12-09,200000000,Inactive
CUS00129,Cửa hàng tiện lợi Huỳnh Xuân Giang,Cửa hàng tiện lợi,Modern Trade,Quảng Ninh,Miền Bắc,"Số 159 đường Điện Biên Phủ, Quảng Ninh",02742029368,,2018-08-26,100000000,Active
CUS00130,Canteen Đỗ Công Dũng,Canteen,Traditional Trade,Đà Nẵng,Miền Trung,"Số 159 đường Điện Biên Phủ, Đà Nẵng",02326031369,9644330231,2019-07-17,50000000,Active
CUS00131,Cửa hàng tiện lợi Dương Hồng Tâm,Cửa hàng tiện lợi,Modern Trade,Bình Định,Miền Trung,"Số 86 đường Trần Phú, Bình Định",02346072958,,2019-04-29,50000000,Active
CUS00132,Cửa hàng tiện lợi Trần Minh Giang,Cửa hàng tiện lợi,Modern Trade,Quảng Nam,Miền Trung,"Số 255 đường Hai Bà Trưng, Quảng Nam",02958335011,,2018-08-16,500000000,Active
CUS00133,Tạp hóa Hoàng Thị Khoa,Tạp hóa,Traditional Trade,Hải Dương,Miền Bắc,"Số 117 đường Điện Biên Phủ, Hải Dương",02910344739,,2018-06-30,50000000,Active
CUS00134,Canteen Lê Đức Cường,Canteen,Traditional Trade,Quảng Nam,Miền Trung,"Số 284 đường Lý Thường Kiệt, Quảng Nam",02740133935,2382129132,2022-09-01,200000000,Active
